item,logprob
aGojeptaDo,-12.30396
aGojiltaDo,-11.9292
aGojiktaDo,-11.77141
aGojaltaDo,-9.473426
aGojaktaDo,-10.51815
aGoxekoad,-13.59665
aGoxokoaR,-14.32051
aGoxosead,-12.81274
aGoxotoad,-14.94106
aGofokoad,-15.07321
aGoxekoad,-13.59665
elexatia,-9.598916
elekatia,-9.633313
elefatia,-10.25021
eleRatia,-9.131493
elenatia,-9.761337
eleDatia,-11.05674
elesatia,-9.064387
elesatia,-9.064387
elepatia,-9.665826
amikaDo,-6.548069
amiBaDo,-8.417443
amisaDo,-6.569461
amixaDo,-8.568339
amifaDo,-9.076396
amiDaDo,-6.886542
amiYaDo,-8.913076
amipaDo,-8.514962
amimaDo,-7.764964
amikaDa,-6.846968
amiBaDa,-8.716342
amisaDa,-6.86836
amixaDa,-8.867238
amifaDa,-9.375295
amiDaDa,-7.185441
amiYaDa,-9.211975
amipaDa,-8.813861
amimaDa,-8.063864
amoDemfa,-9.840781
amoDensa,-8.079575
amoDensa,-8.079575
amoRemfa,-9.293004
amoRensa,-8.361729
amoRensa,-8.361729
amonemfa,-9.788078
amonensa,-8.393067
amonensa,-8.393067
amomemfa,-11.17126
alesetjon,-9.212546
alekotjon,-12.30551
aleRetjon,-9.537367
aleRotjon,-11.82963
alenetjon,-9.541006
alenotjon,-12.22568
alemetjon,-9.16891
alemotjon,-11.87824
aletetjon,-9.763683
aletotjon,-13.12099
aBoseR,-7.523494
aDoseR,-6.779016
asoseR,-7.938431
aposeR,-7.130485
aGoseR,-7.311759
akosoR,-7.043036
akoGoR,-8.77905
akoGuR,-11.14908
akoseR,-7.291129
akosuR,-10.03113
aDaspaDa,-8.4703
aDaDxaDa,-10.18389
aDalpaDa,-9.197599
aDalBaDa,-8.911392
apiRGaDa,-8.620445
apiRsaDa,-8.063891
apiRxaDa,-9.190622
apiRfaDa,-11.91434
apiRDaDa,-10.44272
apiRpaDa,-8.970226
aDaspaDo,-8.1714
aDalpaDo,-8.898699
aDalBaDo,-8.612493
aDaDxaDo,-9.884986
apiRGaDo,-8.321545
apiRsaDo,-7.764992
apiRxaDo,-8.891723
apiRfaDo,-11.61544
apiRDaDo,-10.14382
apiRpaDo,-8.671327
eBelotasjon,-10.02059
eBeloBasjon,-10.76169
eBelokasjon,-9.645378
eBelofasjon,-11.50481
eBeloGasjon,-9.863474
eBelopasjon,-11.05478
eBeloDasjon,-10.96363
eBeloRasjon,-9.758916
eBelosasjon,-9.862804
eBeloBasjon,-10.76169
amiBinoR,-11.31048
amiBilaR,-9.872379
amiBiRaR,-10.13557
amiBisaR,-9.587565
amiBiBaR,-10.45454
amiBikaR,-9.84985
amiBitaR,-9.558173
amixinoR,-11.15402
amixilaR,-10.38536
amixiRaR,-10.15828
amisaDo,-6.569461
amiDaDo,-6.886542
amiRaDo,-6.789756
amimaDo,-7.764964
amilaDo,-7.133345
amikaDo,-6.548069
amitaDo,-6.154023
amesaDo,-6.930847
ameDaDo,-6.932751
ameRaDo,-6.440128
amisaDa,-6.86836
amiDaDa,-7.185441
amiRaDa,-7.088655
amimaDa,-8.063864
amilaDa,-7.432245
amikaDa,-6.846968
amitaDa,-6.452922
