item,logprob
aBalDo,-5.4505233
aponifan,-7.7390292999999994
aponiYan,-8.9129043
aponixan,-8.714930299999999
aponimin,-6.437022300000001
aDonifan,-7.8384542999999995
aDoniYan,-9.0609813
aDonixan,-8.849239299999999
aDonimin,-6.571935300000001
aGonifan,-7.759962300000001
aGoniYan,-8.938650299999999
apojeniR,-8.2124653
aGojeniR,-8.143449299999999
afojeniR,-8.4489143
alejitiBle,-8.2504303
aleCitiBle,-8.4935443
aleCotiBle,-8.7357263
aGuskanjento,-10.8711623
aGuskaljento,-10.5100423
aGuskaDjento,-10.394472299999999
aGuskanjento,-10.8711623
aBektaR,-6.6795083
aBultaR,-5.9078903
aBaltaR,-6.2232993
apultaR,-5.905829300000001
axektaR,-6.6220303000000005
aGultaR,-6.5350223000000005
aDultaR,-6.1757953
aDaltaR,-6.860765300000001
aBolDaR,-7.167133300000001
amaRtisko,-7.557632300000001
amaktiska,-7.6755033
amaktisto,-7.537428300000001
amantiska,-7.1504303
amantisto,-7.0123493
amastiska,-7.575982300000001
amastisto,-7.437908300000001
amaltiska,-8.442488299999999
amaltisto,-8.304408299999999
aBekto,-5.1860323
aBulto,-4.720865300000001
aBalto,-5.0274573
apulto,-4.718806300000001
axekto,-5.128550300000001
aGulto,-5.3479953
aDalto,-5.6650963
amisonoR,-7.5055073000000005
amisolaR,-7.0048973000000005
amisoRaR,-7.5298653
amisosaR,-7.365496300000001
amisoBaR,-7.921265300000001
amisokaR,-7.477940300000001
amisotaR,-7.8746663
amisenaR,-7.1926573
amiDonoR,-7.723241300000001
amiDolaR,-7.482844300000001
axiGomaDo,-9.2764323
axiGolaDo,-9.117454299999999
axiDomaDo,-8.703153299999999
axiDolaDo,-8.7142003
etRa,-2.8932404
akReGaneRa,-8.8223763
akReGaloka,-9.5567023
akReGameRa,-9.0484213
aflikaR,-5.5009603
afRikaR,-5.2339323
akRikaR,-5.0335773
akRilaR,-6.058648300000001
aDRikaR,-5.5529113
akRexanoRa,-10.0507823
akRexaDoka,-9.498302299999999
akRexamoRa,-9.591062299999999
akRexaloRa,-9.784942299999999
akRexaleka,-9.9003523
akRefamoRa,-9.0723573
atRimaR,-5.8674133
atRiGaR,-6.3332633000000005
afRimaR,-6.1189783
afRiGaR,-6.578460300000001
aDRimaR,-6.4329963
aDRiGaR,-6.895923300000001
atRimo,-4.9425743
atRiGo,-5.2627783
afRixo,-5.4395733
afRimo,-5.194253300000001
afRiGo,-5.5079383
akRafoteCes,-11.4633323
akRafoteCos,-11.766562299999999
akRaBoteCes,-11.3394923
akRaBoteCos,-11.6429523
akRaxanoRo,-10.6702623
akRaxamoRo,-10.2200223
akRaxaloRo,-10.4075323
akRafamoRo,-9.366262299999999
akRafaloRo,-9.6542923
akRaGanoRo,-9.896582299999999
akRonjetjon,-10.7639523
atRiBjoDo,-9.229302299999999
akRiBjoDo,-9.271432299999999
apliBjoDo,-9.8257123
aBliBjoDo,-10.0969623
apRiBjoDo,-9.3918123
