word,word_shape,word_phono,length,frequency_bin,real_wbps,real_mbps,real_wbos,real_mbos,nonword1,nonword1_phono,nonword1_wbps,nonword1_mbps,nonword1_wbos,nonword1_mbos,nonword2,nonword2_phono,nonword2_wbps,nonword2_mbps,nonword2_wbos,nonword2_mbos,nonword3,nonword3_phono,nonword3_wbps,nonword3_mbps,nonword3_wbos,nonword3_mbos
atomismo,VCVCVCCV,atomismo,8,<10,-1.0294883333333331,-0.9239896888888888,-1.010322,-0.8966294333333334,amosispa,amosispa,-1.030681,-0.9837741333333332,-1.0346301111111111,-1.0058179888888887,amocarmo,amokaRmo,-1.094955,-0.9824238,-1.0488935555555556,-0.978969877777778,amosarmo,amosaRmo,-0.9499374444444444,-0.9657231333333336,-0.969604,-0.9836451
atontado,VCVCCVCV,atontaDo,8,<10,-0.8154996666666666,-0.9009879111111112,-0.8225354444444445,-0.8831096555555555,amirlado,amiRlaDo,-0.836859,-0.9869864666666668,-0.827503,-1.026055877777778,amirmado,amiRmaDo,-0.8849444444444444,-0.9440215777777776,-0.8793365555555556,-0.9533603222222222,amirtada,amiRtaDa,-0.9109745555555556,-0.9963809111111112,-0.908417111111111,-0.9706488777777778
atonía,VCVCVV,atonia,6,<10,-1.020664,-0.9428410285714286,-0.9970701428571428,-0.8796319857142858,amerío,ameRio,-1.0292702857142857,-0.9350227428571428,-0.9753001428571428,-0.8639798428571429,amirío,amiRio,-1.0740305714285714,-1.019636742857143,-1.000346857142857,-0.9390002714285716,amedío,ameDio,-1.1137128571428572,-1.0274653142857144,-0.9690995714285714,-0.8968869857142857
atorar,VCVCVC,atoRaR,6,<10,-0.8960551428571428,-0.995573742857143,-0.9006361428571428,-0.9667949857142856,avular,aBulaR,-0.9125694285714284,-0.8562457428571429,-1.0742705714285714,-1.0200617,acutar,akutaR,-0.8537922857142857,-0.9320246,-0.9035581428571428,-0.9601558428571428,acudar,akuDaR,-0.9425458571428572,-1.0390167428571428,-0.966415,-1.0594481285714286
atracar,VCCVCVC,atRakaR,7,<10,-0.907485625,-0.8403997750000001,-0.902224875,-0.8327869875,acrisar,akRisaR,-0.84616525,-0.8853629000000001,-1.012641125,-1.0027278625,ablisar,aBlisaR,-0.795289125,-0.874747025,-0.991728625,-1.0070053625,,,,,,
atraco,VCCVCV,atRako,6,<10,-0.9497157142857144,-0.8012277428571429,-0.9428254285714284,-0.7914935571428572,acriso,akRiso,-0.9336662857142856,-0.8614504571428571,-1.054693428571429,-0.9331532714285714,agriso,aGRiso,-1.0198624285714286,-0.8964247428571428,-1.0909161428571428,-0.9726337,abliso,aBliso,-0.8755221428571429,-0.8504987428571429,-1.0307934285714286,-0.9376125571428572
atrapar,VCCVCVC,atRapaR,7,<10,-0.907268875,-0.8230324,-0.891121625,-0.8216377375,acrivar,akRiBaR,-0.89760175,-0.893432775,-0.980277875,-0.9840753625,acribar,akRiBaR,-0.89760175,-0.893432775,-0.98912825,-0.9275686125,,,,,,
atraso,VCCVCV,atRaso,6,<10,-0.8920474285714286,-0.8223797428571429,-0.9533084285714286,-0.8385519857142858,acrico,akRiko,-0.9093482857142856,-0.8106730285714286,-0.941218,-0.8380199857142857,ablico,aBliko,-0.8688501428571429,-0.8230867428571429,-0.8921814285714286,-0.8121314142857143,aclico,akliko,-0.9659751428571428,-0.9120990285714284,-0.9878964285714286,-0.9032292714285716
atrevida,VCCVCVCV,atReBiDa,8,<10,-0.8521305555555556,-0.8735021333333334,-0.8444547777777778,-0.8492787666666666,agribido,aGRiBiDo,-0.8676821111111112,-0.8551340222222223,-0.891483888888889,-0.9546981,agrigido,aGRixiDo,-0.920375888888889,-0.9204843555555556,-0.9317044444444444,-1.0002208777777777,,,,,,
atribuir,VCCVCVVC,atRiBwiR,8,<10,-0.997178,-0.9897731333333336,-1.009931666666667,-1.0025676555555556,abrivior,aBRiBjoR,-1.0881003333333334,-1.011079911111111,-1.181508888888889,-1.0716014333333337,atravior,atRaBjoR,-1.1106631111111112,-1.001856022222222,-1.1113811111111112,-0.9826724333333332,abrabior,aBRaBjoR,-1.1419733333333335,-1.0281693555555556,-1.12842,-1.0299481
